卡片,出處
資訊的危險之處在於，隨著時代推進，其力量越大，如果不能平衡秩序與真相，就容易失控,連結
一個族群的發展，重點可能不在於人或是環境，而是可得的最佳資源,槍炮、病菌與鋼鐵:人類社會的命運
傳播決定了技術的使用，如果隔絕傳播，甚至可能產生技術倒退，所以保持流通的資訊管道是很重要的,槍炮、病菌與鋼鐵:人類社會的命運
當人遇到無法理解的事情，就更容易傾向採納簡單的陰謀論,連結
人可以掌握的運氣，多半來自多出來的資源，這往往來自“你做的事”及“多少人知道你正在做的事”，讓他人留意到你，就可能獲得額外的幫助,newsletter
人類的力量奠基於人際網路，而非單一個體，而人際網路力量的應用，才是人類喜悲的關鍵,連結
更多的資訊不是人能做出好選擇的關鍵，而是人的價值觀,連結
資訊的增長雖然帶來許多技術上的突破，卻也持續造成不同的災難，由此可知資訊的多寡，未必是引導人走向正確道路的指標,連結
資訊僅呈現真實會有問題在於，將這個模型放在歷史中，很難說明一些無法證實的東西能夠如此成功，如果正確資訊與錯誤資訊在人類社會中沒有效用的差別，這種分類就沒什麼用,連結
正因為連結才是力量，品牌說的故事連結眾人才會被視為商業的重要手段,連結
馬克思主義認為資訊是作為奪取客觀利益的煙霧彈之錯誤，卻忽略地在歷史中，有許多人光是仰賴主體間的事實就能產生行動,連結
用來掌握秩序的資訊，其中一種是發展成官僚體系中的各種文件，記載主體間的現實，於是權力的節點分佈在一份份的文件中，越有能力掌握這些文件的人，越能夠掌握權力,連結
盡可能降低最大風險的發生，只挪用少部分的資源冒險，這樣的槓鈴策略，可能可以幫助人既能存活，又能得到可觀的收益,反脆弱
我們的生活有更多的強固及反脆弱，反而不需要精準的預測，就能夠承受,反脆弱
拖延可能是表示目前環境安全到我們不需要動,反脆弱
面對運氣主導的事件，模仿與試錯是避免我們被淘汰的好方法,Vincent
問問自己這個計畫最糟的狀況是什麼，這樣的未來詢問法，有助於發想發展的下線,零偏誤決斷法
在系統中加入隨機性，長期來說可能反而更趨近穩定,反脆弱
越長期穩定的事物，發生意外的麻煩就更大，這時往往更需要高的維護性，來應對意外,反脆弱
變異性越大的環境，越不容易受到黑天鵝影響，因為總是有可接受的小失誤，人們可以依循失敗的資訊不斷調整,反脆弱
高層級的反脆弱源自於低層級的脆弱，例如公司的進步仰賴員工的犧牲,反脆弱
從反脆弱中得到好處的壓力有規模限制，這說明為何我們需要控制風險，免得進步不成，反而全毀,反脆弱
資訊具有反脆弱性，越是想打壓一項資訊，就越容易散播出去,反脆弱
反脆弱指的是在最糟的狀況反而能帶來好處，像是批評反而能強化被關注，被關注就具有反脆弱性,反脆弱
在社會科學中的規定，無論合不合理，經常是來自某個痛點而設計出來的，如果要進行改變，必定要先理解脈絡,Vincent
