Name,出處
到處都有缺乏效率的問題，重點不在怎麼解決，而是評估自己能不能忍受,一如既往
解決問題不必然要了解問題，只要找到成功經驗的亮點，並且不斷複製就好了,佛畏系統
MECE是種分層原則，著重在問題分層的層次一致，雖然難以完全達成，但仍是很好的驗證方法,BCG問題解決力:一生受用的策略顧問思考法
事實與意見不容易區分，很多資訊可能是意見卻被當作事實,BCG問題解決力:一生受用的策略顧問思考法
金字塔越接近下層越要拿出事實佐證，來證明最一開始的認知,BCG問題解決力:一生受用的策略顧問思考法
金字塔原則常用歸納法及演繹法，也通常會將一個大議題拆成子議題，並利用上述方式去證明假說,BCG問題解決力:一生受用的策略顧問思考法
確認問題是否為真，先確認主體的定義，再依此定義小心求證,BCG問題解決力:一生受用的策略顧問思考法
謹慎的看待一個問題時，必須釐清手上的資訊前提為何,BCG問題解決力:一生受用的策略顧問思考法
問對問題很重要。人通常不喜歡公然說謊，而傾向刻意隱瞞，認為自己沒有義務把事情交代清楚，然而一旦被問到了，就很有可能支支吾吾的回應,不當行為
通常沒人能夠回答一個很大的問題，最好拆成三到五個小問題,精準提問
最具體最好回答的問題先問,精準提問
建立信任感，是提問的先決,精準提問
建立信任感，先利用閒聊與提問通盤了解對方，再進入想問的內如,精準提問
建立信任感的第一步，就是利用可用的線索，進行閒聊，就像大人學講的先找出連結點,精準提問
訪綱不只提供問題，更是一個開始建立信任感的開始,精準提問
"在一開始的提問就能以邀請的方式, 讓對方成為主動者, 這樣更容易累積信任感, 像是”我能怎麼幫你”",精準提問:找到問題解方、培養創意思維、發揮專業
運用假設問句能夠有效的做出突破框架的提問,精準提問:找到問題解方、培養創意思維、發揮專業
"陳述性評論要負責, 提問則通常不用, 糟糕的問題總比陳述好",好問:化異見為助力的關鍵說服力
"遇到不同類型的人有不同的提問重點, 高談闊論的人適合問舉例, 言語無味的要找出興趣或是透過關心找出點, 脈絡少而難懂的則要適時暫停, 利用5w1h協助整理時間軸, 沒問題的就試著深挖",精準提問:找到問題解方、培養創意思維、發揮專業
問問題不是要證實，就是要反駁,好問:化異見為助力的關鍵說服力
搭便車手法，是透過問第三者問題，引導他的回答，導致當事人因此名譽受損,好問
當一件事情難以解釋的時候，使用「為什麼」會造成毀滅性的傷害,好問
透過提問打斷對方的陳述性表述，能夠有效打斷對方節奏，讓討論嘎然而止,好問
打斷對方節奏，可以打破假設對方所說為真的前提，問問你是如何知道的,好問
把自己的受害者的問法也是有效的反擊方式,好問
請教導師時目的必須明確，整理好問題、運用零碎時間（通常人比較容易有這種時間）、用最基本的背景交代（有需要對方會多問），提供自己的解決方法，最後閉嘴聆聽,高效經理人手冊
在為對方保留選擇時，對上可以更細心的表示我知道妳怎樣，如果不行我也可以理解，對下則可以說出一切由你選擇,影響力是你的超能力
同理型提問多半用到傾聽的技巧，心態可能要建立一下，在這個情境要做的是理解、好奇他人的故事，與自己無關,精準提問的力量
